Inventaire;Cote;Rubrique;Genre;Titre;SousTitre;ISBN;Auteur;Illustrateur;Annee;Editeur;Collection;Numero;Support;Mots-clefs;Niveau;Description;Taille;Date achat;Financement;Empruntable
959;800.000;Lire des histoires;Poèmes et comptines;La ville en poésie;"";2-07-058330-9;Charpentreau (Jacques);"";1994;Gallimard;Folio junior en poésie;"";Livre;poésie;Cycle 3;"";"";"";"";Oui
960;800.000;Lire des histoires;Romans et nouvelles;Comment j'ai sauvé mon village;"";2211055087;Schwartz (Irène);"";1999;Ecole des loisirs;Neuf;"";Livre;histoire d'enfants, montagne :;Cycle 2;Un été, il y a deux ans, Alberto a recueilli deux bébés marmottes abandonnés. Il les a nourris, leur a construit un abri. Il a même réussi à les apprivoiser. Elles s'appellent Risotto et Polenta. Depuis, Alberto passe toute l'année scolaire à rêver au moment où il retrouvera ses marmottes. Mais cette année, aucune trace de Risotto et Polenta. Alberto a beau les chercher partout, elles sont introuvables. Ont-elles simplement déménagé ? Auraient-elles été dévorées par un renard ? Alberto se désespère, ce sont les vacances les plus tristes de sa vie. En fait, ses marmottes sont là, tout près. Elles vont bien mais elles courent un grand danger. Il y a quelqu'un, au village, qui ne donne pas cher de leur fourrure...  ;192 p;"";"";Oui
961;800.000;Lire des histoires;Romans et nouvelles;Diablesse;"";2211052258;Ubac (Claire);Mets (Alan);1999;Ecole des loisirs;Neuf;"";Livre;histoire d'enfants;Cycle 3;Est-ce la faute de Lucie, si on lui en veut d'être la petite dernière ? Est-ce sa faute si elle cassé le kaléidoscope de sa soeur et si elle ne l'a pas recollé exactement comme il fallait ? Est-ce sa faute si elle se sent différente du reste de sa famille ? Si elle est la seule à aimer la série La Vipère obscure ? Et si elle adore rester sur le seuil de la maison, les soirs d'orage, pour regarder les éclairs et écouter le tonnerre déchirer le ciel ? "Tu as des goûts de diablesse", lui a dit un jour sa grand-mère. Eh bien, c'est entendu, Lucie sera une diablesse, puisqu'ils y tiennent. Elle tombera amoureuse du nouveau de la classe, un vrai ténébreux, qui porte des baskets Méphisto. Elle se fera surprendre par la maîtresse en train d'écrire le plus sombre des poèmes. Elle se fâchera avec ses amies et s'attirera un bon paquet d'ennuis. Et elle racontera tout dans son journal. Si vous voulez le lire, vous n'avez qu'à ouvrir ce livre.;"";"";"";Oui
962;800.000;Lire des histoires;Romans et nouvelles;Coeur de lardon;"";2-211-03759-3;Tamaro (Susanna);"";1993;Ecole des loisirs;Neuf;"";Livre;histoire d'enfants;Cycle 3;Michel n'a qu'un ami dans la vie: le réfrigérateur.  Quand il est triste, ce qui lui arrive très souvent, il va dévaliser Frigy, comme il (appelle, et ils ont ensemble de longues conversations. Ils se vengent des parents de Michel qui sont tous les deux très maigres (l'une parce qu'elle vend des maillots de bain, l'autre parce qu'il vend des voitures de sport) et ne supportent pas d'avoir un garçon aussi goinfre et aussi grassouillet.  Car dans ce livre un peu spécial, les réfrigérateurs parlent et les parents sont fous. Fous au point d'envoyer leur fils dans une pension dont le directeur veut qu'on l'appelle Votre Infinie Maigreur, et (institutrice, Squelettique Délice.  Heureusement et malheureusement pour lui, Michel est appelé à sauver ce monde qui ne tourne pas rond et où les parents ne sont jamais contents de leurs enfants, au prix d'aventures très éprouvantes.  Mais son ami Frigy ne l'a-t-il pas baptisé le Chevalier Coeur de Lardon?;"";"";"";Oui
963;800.000;Lire des histoires;Romans et nouvelles;Une aventure de Tom Sawyer détective;"";2070342166;Twain (Mark);Héron (Bernard);1979;Gallimard;Folio junior;"";Livre;aventures, police;Cycle 3;Sur le bateau qui descend le Mississipi, Tom Sax=wyer et son ami Huck Finn fond la connaissance d'un étrange individu qui passe ses journées cloîtré dans sa cabine...et refuse de se déchausser! Les deux héros mènent l'enquête.;"";"";"";Oui
964;800.000;Lire des histoires;Poèmes et comptines;Fabliettes;"";"";Guillevic;Jordan (Laurie);1981;Gallimard;Folio benjamin;53;Livre;poésie;Cours élémentaire;"";28;"";"";Oui
965;800.000;Lire des histoires;Romans et nouvelles;La conférence des animaux;"";2070331180;Kästner (Erich);Boiry;1980;Gallimard;Folio junior;"";Livre;histoire d'animaux, merveilleu;Cycle 3;"";128 p;"";"";Oui
966;394.000;Fêtes, carnavals;Romans et nouvelles;Un mariage;"";288445246X;Bourgoing (Pascale de);Gasté (Eric);1997;Calligram;A travers la fenêtre;20;Livre;fête, mariage;Cours préparatoire;Ce soir, il y a un grand mariage en Afrique, toutes les familles d'animaux se préparent. Mais qui n'est pas prêt chez les autruches, chez les zèbres et les lions ?... Une question... un film transparent qui donne la réponse.;30 pages;"";"";Oui
967;534.000;Son;Romans et nouvelles;Quel est ce bruit ?;"";2884452435;Bourgoing (Pascale de);Percy (Graham);1997;Calligram;A travers la fenêtre;18;Livre;acoustique;Cycle 2;Pierre l'Ours a envie de lire tranquillement une histoire à son amie Tina. Mais qu'est-ce qui sonne dans sa chambre ? Qu'est-ce qui siffle dans la cuisine ?... Une question... un film transparent qui donne la réponse.;30 pages;"";"";Oui
968;394.000;Fêtes, carnavals;Romans et nouvelles;Un anniversaire;"";2.88445.196.X;Bourgoing (Pascale de);Goffin (Josse);1994;Calligram;A travers la fenêtre;12;Livre;fête;Cours préparatoire;"";"";"";"";Oui
969;155.000;Psychologie de l'enfant;Romans et nouvelles;Jérémy est maltraité;"";2.88445.374.1;Saint Mars (Dominique de);Bloch (Serge);1997;Calligram;Ainsi va la vie;36;Livre;enfant maltraité;Cycle 2;Max ne comprend pas pourquoi son copain Jérémy est souvent violent. Un jour, il découvre qu'il est maltraité par son père... Une histoire de Max et Lili pour apprendre que la maltraitance, c'est la violence répétée sur un plus petit. Un enfant battu, humilié ou délaissé ne peut pas se défendre. Si on découvre sa souffrance, il faut le persuader d'en parler, pour qu'on puisse le protéger et aider sa famille. La loi punit quiconque n'aide pas une personne en danger, spécialement un enfant.;16 cm;"";"";Oui
970;800.000;Lire des histoires;Bandes dessinées;Max est maladroit;"";2884453245;Saint Mars (Dominique de);Bloch (Serge);1996;Calligram;Ainsi va la vie;"";Livre;histoire d'enfants, bricolage;Cycle 2;Cette histoire de "Max et Lili" parle de la maladresse...  Max fait tout de travers et ses copains ne veulent plus de lui pour construire la cabane. Il est tout triste jusqu'à ce que son grand cousin arrive. Un petit livre pour ne plus avoir peur de rater, pour retrouver plaisir et confiance en soi, en prenant son temps.;48 p;"";"";Oui
971;800.000;Lire des histoires;Album;Max a la passion du foot;"";2-88445-248-6;Saint Mars (Dominique de);Bloch (Serge);1995;Calligram;Ainsi va la vie;"";Livre;aventures;Cycle 2;Il manque quelques centimètres à Max et aussi un peu de vitesse et d'adresse pour s'imposer. Arrivera-t-il à réaliser son rêve : faire partie de l'équipe de l'école !  Une histoire pour comprendre qu'à force de volonté, de passion et d'entraînement, on arrive toujours à quelque chose.;48 p;"";"";Oui
972;597.000;Poissons - Batraciens - Reptiles;Album;Les requins;"";2736648234;Collectif;"";1998;Epigones;Fenêtres;"";Livre;requin, poisson;Elémentaire;Formidable machine à tuer, le requin est l'habitant des mers le plus redouté ! Qu'est-ce qu'un requin ? Comment sont leurs dents ? Y a-t-il beaucoup d'espèces de requins ? Quels sont les plus grands ? Les plus dangereux ? Que voit-on dans le ventre d'un requin ? A-t-il des techniques de camouflage ? Quel est son sens le plus développé ? Le requin attaque-t-il l'homme ? Comment se reproduit-il ? Où habitent-ils ? Mange-t-on du requin ? A-t-on trouvé des fossiles de requins ? Cet album vous donnera toutes ces réponses et bien d'autres encore...;"";"";"";Oui
973;973.000;Histoire des Etats-Unis;Album;Les bandits;"";2736648250;Keer (Daisy);"";1998;Epigones;Fenêtres;"";Livre;conquête de l'ouest;Elémentaire;"";39 pages;"";"";Oui
974;973.000;Histoire des Etats-Unis;Album;Les bandits;"";2736648250;Keer (Daisy);"";1998;Epigones;Fenêtres;"";Livre;conquête de l'ouest;Elémentaire;"";39 pages;"";"";Oui
975;918.000;Géographie de l'Amérique du Sud;Album;L'Amazonie;Les carnets de route de Tintin;2203052333;Noblet (Martine);Hergé;2000;Casterman;Tintin;"";Livre;Brésil : géographie, fleuve, v;Elémentaire;"";"";"";"";Oui
976;800.000;Lire des histoires;Bandes dessinées;L'inspecteur n'a peur de rien !;"";2700940849;Fonteneau (Jean-Louis);Schwartz (Olivier);1993;Bayard;Astrapi;2;Livre;policier;Cycle 3;Quand l'inspecteur Bayard enquête, les suspects ne manquent pas. Mais grâce aux indices, tu peux l'aider à découvrir les coupables. A toi de jouer !;48 pages;"";"";Oui
977;306.000;Famille - Relations parents/enfants;Bandes dessinées;Max ne veut pas se laver;"";2-88445-575-2;Saint Mars (Dominique de);Bloch (Serge);2001;Gallimard;Calligram;"";Livre;éducation;Elémentaire;Max est dégoûtant, Max fait pipi dans le bain, Max ne se lave pas les dents, ni les mains... Il n'a jamais le temps, il préfère jouer. Alors, ses parents s'énervent, on le suit. Comment va-t-il s'en sortir ? Ce livre de Max et Lili parle des différentes façons d'être propre ou sale ! Il peut aider à comprendre pourquoi on aime être crasseux et se comporter comme un cochon. Sans en faire une obsession, on peut trouver du plaisir à être propre et à s'occuper de son corps et son environnement.;40 pages;"";"";Oui
978;909.000;Histoire générale du monde - Civilisation;Bandes dessinées;Les pionniers de l'Ouest;"";2.7130.0179.X;Bultreys (A.);"";1976;Gamma;Autrefois;21;Livre;conquête de l'ouest, histoire,;Cycle 2;Cette collection aborde de façon vivante les sujets les plus intéressants de l'histoire. Elle allie la sûreté de l'information à une présentation richement illustrée, bien adaptée aux jeunes enfants. Ceux-ci découvriront le monde d'autrefois dans des images qui font revivre le passé et dans un texte simple et condensé. Chaque sujet est présenté sous ses divers aspects. Il constitue un centre d'intérêt qui donne aux faits leur sens historique et qui passionnera les jeunes lecteurs.;"";"";"";Oui
979;305.000;Jeunesse, vieillesse, femmes, minorités;Bandes dessinées;L'Europe;"";2070543188;Pflimlin (Edouard);Bataille (Sylvia);2000;Gallimard jeunesse;"";"";Livre;éducation civique, Union Europ;Cycle 3;En route ! La classe d'Adèle part en voyage visiter les hauts lieux de l'Union européenne. En compagnie de correspondants européens de son âge, elle s'interroge sur l'Europe : quelle est l'histoire de sa construction ? Comment fonctionnent ses institutions ? Que signifie être citoyen européen ? Finalement, à quoi sert l'Europe ? Saïd lui apportera quelques réponses.;45 pages;"";"";Oui
980;305.000;Jeunesse, vieillesse, femmes, minorités;Bandes dessinées;L'Europe;"";"";Pflimlin (Edouard);Bataille (Sylvia);2000;Gallimard jeunesse;Citoyens en hebe;"";Livre;éducation civique, Union Europ;Cycle 3;En route ! La classe d'Adèle part en voyage visiter les hauts lieux de l'Union européenne. En compagnie de correspondants européens de son âge, elle s'interroge sur l'Europe : quelle est l'histoire de sa construction ? Comment fonctionnent ses institutions ? Que signifie être citoyen européen ? Finalement, à quoi sert l'Europe ? Saïd lui apportera quelques réponses.;45 pages;"";"";Oui
981;303.000;Violence, guerre, révolution;Bandes dessinées;Pourquoi la guerre ?;Explication et fonctionnement de la guerre;2-7467-0316-5;Andrieu (Philippe);"";2003;Autrement;Autrement junior;"";Livre;guerre;Cycle 3;Qu’est-ce que la guerre ? À quoi sert une armée ? Que signifie le pacifisme ? Quel est le rôle des organismes internationaux ? Les enfants sont-ils touchés par la guerre ? Quelle définition donner du terrorisme ? À partir d’une histoire et d’une série de définitions complétées par de très nombreuses précisions historiques, cet album éducatif tente de répondre à toutes ces questions. Un livre très complet qui, par son approche pédagogique, cherche à sensibiliser les enfants aux problèmes de société. Les textes, dans une mise en page claire et précise, sont accompagnés de dessins significatifs, proches de la bande dessinée. Un livre à découvrir avec un parent dès 9 ans, ou plus tard seul.;45 pages;"";"";Oui
900;800.000;Lire des histoires;Romans et nouvelles;Les concombres du roi;"";2227722371;Brisou-Pellen (Evelyne);Puig Rosado (Fernando);"";Bayard poche;J'aime lire;"";Livre;merveilleux, humour;Cours élémentaire;Indra est bien malheureuse. Son père, le méchant - et gourmand - roi d'Angkor, lui interdit de sortir du palais. Un jour elle désobéit et découvre un merveilleux jardin où grâce au talent de Trasak poussent les plus belles fleurs du monde... et de délicieux concombres.  La princesse et le jardinier tombent éperdument amoureux l'un de l'autre. Mais sauront-ils amadouer le roi ?;48 p;"";"";Oui
901;800.000;Lire des histoires;Romans et nouvelles;Echappé sur pointes;"";2-203-11778-8;Vermot (Marie-Sophie);Rouil (Christophe);1996;Casterman;Dix & plus;34;Livre;policier;Cycle 3;"";"";"";"";Oui
902;800.000;Lire des histoires;Romans et nouvelles;Quand le diable possède les filles;"";2867383919;Vladimir;Piétri (Nicole);1989;Syros;Souris rose;"";Livre;roman, sentiment, Afrique : gé;Cycle 3;"";48 pages;"";"";Oui
903;800.000;Lire des histoires;Romans et nouvelles;Tout faux Ludo !;"";2203117885;Viot (Jean-Louis);Rouil (Christophe);1997;Casterman;Dix & plus;52;Livre;collège, violence;Cycle 3;Ludo vit en milieu défavorisé, ce qui signifie: échec scolaire, beau-père alcoolique, délinquance, violence, etc. Il cache un copain mêlé à un trafic de pastis et poursuivi par la bande à Manu. Dans ce décor sombre et gris, il y a Valérie qu'il aime bien et qui ajoute un peu de fraîcheur à la tristesse du tableau.;"";"";"";Oui
905;800.000;Lire des histoires;Poèmes et comptines;Tour de terre en poésie;"";2912084091;Henry (Jean-Marie);Vautier (Mireille);1998;Rue du monde;La poésie;"";Livre;poésie, écologie;Cycle 3;Cinquante poèmes issus de cinquante cultures, chacun reproduit dans sa version d'origine et traduit en français. Des civilisations très diverses qui s'expriment dans les langues de grande culture comme le chinois, l'arabe, le russe mais aussi dans des dialectes : le breton, le corse, le peul, l'inuit. Les poèmes célèbrent l'amour, l'amitié, la famille, la nature. Les illustrations simples, sobres, aux couleurs fines, restent discrètes et ne cherchent pas à accaparer l'attention. Dans l'ensemble, les textes sont un peu difficiles d'accès et demandent à être « passés » par un médiateur adulte, enseignant ou conteur.;60 pages;"";"";Oui
906;800.000;Lire des histoires;Contes;Petit homme et les princesses;"";2211046835;Rivais (Yak);"";1997;Ecole des loisirs;Neuf;"";Livre;conte;Cycle 3;Petit Homme rêve d'une princesse. Un soir, il suit en forêt deux lutins qui cherchaient des chamallows. Une grande aventure l'attend. Les personnages qu'il rencontre parlent des langues bizarres. Les lutins n'utilisent qu'une voyelle par phrase : "Oh le gros chamallow rose !".L'affreuse sorcière aux vers luisants remplace les sons "au".et "oi".par des "in".: "Gare à toin, garnemint !".Les soldats du château confondent masculin et féminin : "La roi est dans la salle de la trône". Le fantôme, car il y a un fantôme, double le son "ou".: "Avez-vous ou la frou-ou-see ?".A la cour, tout le monde abuse d'adverbes "immodérément, incroyablement et ridiculement".et les filles du roi parlent en vers. L'oiseau bleu se contente de siffler : "Prenons nous dans les bois !".Par chance, Petit Homme F. U. T. Il F. U. T autant que les énigmes qu'il propose. Avec lui, mieux vaut avoir l'esprit du champagne (pétillant) que celui du flacon qui le contient (bouché !);154 p;"";"";Oui
907;940.100;Histoire de l'Europe : Moyen Age (de 487 à 1453);Contes;Les cités médiévales;"";2736648161;Kerr (Daisy);Wood (Gerald);1997;Epigones;Fenêtres;"";Livre;urbanisme, coutume, Moyen Age;Elémentaire;Comment vivait-on dans les villes au Moyen-Age ? Comment étaient les maisons ? Que faisaient les artisans ? Que trouvait-on sur les marchés, sur les quais, dans les foires ? Faisait-on du commerce ? Y avait-il des fêtes et des divertissements ? Comment se soignait-on ? Et la nourriture, les vêtements, les bijoux... ? Cet album encyclopédique répond à des centaines de questions.;39 pages;"";"";Oui
908;629.200;Automobile - Vélo - Moto;Contes;Les motos;"";2736648269;Graham (Ian);Hewetson (Nicholas);1998;Epigones;Fenêtres;"";Livre;moto;Elémentaire;Si vous êtes un fan de moto, ce documentaire est pour vous. Vous y trouverez toutes les motos : de la plus ancienne à la dernière née, de la moto de guerre à la moto de course en passant par la moto du service public. Vous entrerez dans un moteur, vous monterez sur un dragster ou sur un custom, sans oublier tout ce que vous devez savoir sur la sécurité et plein d'autres informations.;39 pages;"";"";Oui
909;680.000;Fabrication d'objets;Contes;L'écriture et l'imprimerie;"";2-7366-4817-X;Steedman (Scott);Antram (David);1997;Epigones;Fenêtres;16;Livre;imprimerie, livre;Tous niveaux;Qu'est-ce qu'un hiéroglyphe, un pictogramme ? Quel a été le premier langage écrit ? Sur quoi écrivait-on avant la découverte du papier ? Comment écrivaient les Chinois et les Arabes ? Qui a découvert l'imprimerie ? Qu'est ce que l'alphabet Braille ? Comment écrit-on la musique ? Comment imprime-t-on aujourd'hui ? Cet album encyclopédique répond à des centaines de questions.;39;"";"";Oui
910;621.300;Electricité - Electronique - Ordinateurs - Télécom;Contes;La radio et la télévision;"";2736648188;Lafferty (Peter);Antram (David);1999;Epigones;Fenêtres;"";Livre;radar, radio : technique, télé;Cycle 2;Une documentation élémentaire, structurée et abondamment illustrée. Le thème énoncé est décortiqué en une quinzaine de sujets d'une double page chacun. Deux illustrations accompagnées de transparents ajoutent à la présentation, sans toutefois faire oublier le caractère didactique apparent.;39 pages;"";"";Oui
911;525.000;Terre - Saisons - Marées;Contes;Notre planète;"";2736648218;Steedman (Scott);Scrace (Carolyn);1999;Epigones;Fenêtres;"";Livre;terre;Elémentaire;Depuis toujours l'homme s'interroge sur sa planète. Comment se situe la Terre dans notre système solaire et dans l'univers ? Comment est né l'univers ? Qu'y a-t-il à l'intérieur de la terre ? Pourquoi la croûte terrestre bouge-t-elle ? Comment se déclenche une éruption volcanique ? un tremblement de terre ? Comment se forment le vent, les nuages, la pluie, les éclairs ? Comment se sont formés les mers, les montagnes, les glaciers ? Quelles ont été les premières formes de vie ? Est-ce que notre planète est en danger ? Grâce à la science, beaucoup de ces questions ont trouvé une réponse, comme vous le découvrirez tout au long de ce livre. Pourtant, la Terre n'a pas livré tous ses secrets et certains mystères demeurent.;39 pages;"";"";Oui
913;800.000;Lire des histoires;Bandes dessinées;Bouchon et l'ogre noir;"";2-203-36904-3;Taymans (André);Di Giorgo (J-f);1997;Casterman;"";"";Livre;ongulé;Elémentaire;"";32 p;"";"";Oui
914;800.000;Lire des histoires;Bandes dessinées;Nitroglycérine;"";2882570007;Goscinny (René);Morris;"";Dargaud;Lucky Luke;"";Livre;conquête de l'ouest;Elémentaire;"";"";"";"";Oui
915;800.000;Lire des histoires;Album;Le livre à trous;"";2215001208;Gogniat (Maurice);Gogniat (Maurice);1977;Fleurus;"";"";Livre;histoire d'animaux;Cycle 2;"";16;"";"";Oui
916;800.000;Lire des histoires;Album;Marlaguette;"";2.08.160108.7;Colmont (Marie);Gerda;1952;Flammarion;Albums du père Castor;"";Livre;loup;Elémentaire;"";"";"";"";Oui
1000;800.000;Lire des histoires;Romans et nouvelles;La petite annonce;"";2211036317;Peskine (Brigitte);"";1993;Ecole des loisirs;Neuf;"";Livre;relation parents-enfant, famil;Elémentaire;Une chose est de rédiger une annonce pour trouver une compagne à son père, autre chose d'accepter qu'une vie nouvelle se mette en place à la suite de ce coup de tête.;"";"";"";Oui
1001;800.000;Lire des histoires;Romans et nouvelles;Le buveur d'encre;"";2092750143;Sanvoisin (Eric);Matje (Martin);1996;Nathan;Demi lune;7;Livre;histoire d'enfants, imaginaire;Cycle 3;Un vampire pas ordinaire vient bouleverser la vie d'Odilon, le fils d'un libraire. Le fils du libraire déteste les livres. Son passe-temps favori consiste à guetter les pickpockets, qu'il encourage en pensée à le débarrasser de ces objets encombrants et pleins de feuilles. Un jour, il surprend un curieux voleur qui, muni d'une paille, avale les mots d'un livre entier. Il s'agit d'un vampire qui boit l'encre des livres...  ;48 p;"";"";Oui
1002;800.000;Lire des histoires;Romans et nouvelles;N'embrassez pas les grenouilles !;"";2266058134;Leeson (Robert);"";1996;Pocket;Kid;187;Livre;histoire d'enfants, histoire d;Cycle 3;Rêvant d'un prince, Anne embrasse les grenouilles. Elle perd cette manie après avoir eu un résultat avec l'une d'elle, le prince Rupert. Amusant. --;48 pages;"";"";Oui
1003;800.000;Lire des histoires;Romans et nouvelles;La boutique du vieux chinois;"";2.01.321453.7;Vénuleth (Jacques);"";1997;Hachette;Le livre de poche jeunesse;"";Livre;aventures;Cycle 3;Milred est un premier, un gagneur, un joueur. Il aime par-dessus tout les jeux vidéo de guerre et son arme favorite est l'aviation. Sa passion le mène dans l'écran où il découvre un monde particulier, une jeune fille et un chasseur dont il devient la proie. Une trame enlevante qui porte à la réflexion sur la guerre et les jeux vidéo.;"";"";"";Oui
1004;800.000;Lire des histoires;Album;Gricha caché;"";2081661128;Ubac (Claire);Bougerolle (Annick);2001;Père Castor;Chanteloup;"";Livre;histoire d'animaux;Cycle 2;Gricha le petit ours, Nina la renarde et Boris le corbeau jouent à cache-cache. Nina triche, mais Gricha est plus malin. Il découvre un arbre creux et s'enfonce dans le trou persuadé que personne ne pourra l'y trouver !;27 pages;"";"";Oui
1005;800.000;Lire des histoires;Romans et nouvelles;Docteur Fred et Coco Dubuffet;"";221104624X;Valckx (Catharina);"";1997;Ecole des loisirs;Mouche;"";Livre;histoire d'animaux;Cycle 2;Docteur Fred, l'éléphant, est médecin de village. Il habite une jolie maison au sommet d'une colline. Parfois, il se sent un peu seul. Il a beau avoir une terrasse avec une vue magnifique, il a beau être très aimé de ses patients, il n'est pas tout à fait heureux. Un jour, en faisant le ménage, il rencontre quelqu'un qui va changer sa vie.;"";"";"";Oui
1006;800.000;Lire des histoires;Contes;Les contes de la Saint-Glinglin;"";2.01.014428.7;Escarpit (Robert);François (Sylvie);1992;Hachette;Livre de poche jeunesse;"";Livre;merveilleux;Cycle 3;"";18 cm;"";"";Oui
1007;800.000;Lire des histoires;Album;La Belle et la Bête;"";2010199723;Leprince de Beaumont (Jeanne-Marie);"";1992;Hachette;Le livre de poche jeunesse;"";Livre;conte, sentiment;Cycle 3;"";"";"";"";Oui
1008;800.000;Lire des histoires;Contes;L'oiseau qui faisait les tempêtes;"";2211034519;Hay (Nathalie);Matouk (Olivier);1995;Ecole des loisirs;Mouche;"";Livre;conte, merveilleux, Indien d'A;Cycle 3;Voici un conte micmac, un conte memomini, un conte tlinglit, un conte sioux et un conte salish. Cinq histoires pour découvrir que certains oiseaux peuvent créer de terribles tempêtes rien qu'en battant des ailes, que la distance qui nous sépare de la lune n'est pas si grande, et qu'il n'y a pas d'âge pour être un héros. Cinq contes où l'on apprend à jouer un sacré tour au soleil et à confondre les mauvais esprits  et bien sûr, à se servir correctement d'un arc et de flèches!;"";"";"";Oui
1009;800.000;Lire des histoires;Contes;Alice au pays des merveilles;"";2.01.013976.3;Carroll (Lewis);Rico (Lins);1980;Hachette jeunesse;Le livre de poche;"";Livre;conte, histoire d'enfants;Cycle 3;"";11 cm 16.5 cm;"";"";Oui
1010;800.000;Lire des histoires;Contes;Contes à l'envers;"";2-211-04529-4;Dumas (Philippe);Moissard (Boris);1985;Ecole des loisirs;Neuf;"";Livre;conte, humour;Cycle 3;Voici cinq contes "classiques" minutieusement démontés confrontés aux réalités d'aujourd'hui, ironiquement remontés et illustrés avec humour : La belle histoire de Blanche-Neige, Le Petit Chaperon bleu marine, Le don de la fée Mirobola, La Belle aux doigts bruyants et Conte à rebours.;"";"";"";Oui
1011;800.000;Lire des histoires;Romans et nouvelles;Le fil à retordre;42 histoires extravagantes;2.09.282115.6;Bourgeyx (Claude);Bloch (Serge);1997;Nathan;Pleine Lune;"";Livre;imaginaire;Cycle 3;Mademoiselle Tresse-en-rond, la maîtresse, a un auriculaire qui parle javanais. C'est lui qui lui a dit que Gégé La Flemme n'avait pas fait ses devoirs. C'était vrai mais bon... Depuis quand elle connaît le javanais mademoiselle Tresse-en-rond ? Non ! Vraiment, Gégé se fait du souci pour la maîtresse. Pour lui, elle ne tourne pas rond. Elle ferait mieux d'aller voir un docteur. Gégé peut lui en conseiller un très bien. Vous savez ! Celui qui a opéré son aspirateur !;19 cm;"";"";Oui
1012;800.000;Lire des histoires;Album;La montagne aux trois questions;"";2226090959;Tanaka (Béatrice);"";1999;Albin Michel;Petits contes de sagesse;"";Livre;conte;Cycle 3;"La Montagne aux Trois Questions" est basée sur un conte populaire vietnamien ; mais il existe aussi dans d'autres traditions. Ainsi, toute petite, j'en ai entendu une version différente au bord de la Mer Noire, dont ma mémoire ne retrouva que la trame, lorsque, jeune mère, j'ai voulu la raconter à mes enfants. Dans toutes ses versions, il s'agit d'une quête à la recherche d'une réponse. Dans toutes, le héros est aidé par des gens ou par des animaux qui le prient de poser aussi une question de leur part, lorsqu'il arrivera au but de son voyage. Dans toutes, il finit par ne pas poser la sienne, afin d'aider ceux qui l'ont aidé. Et c'est l'ensemble des réponses aux problèmes des autres qui fournira la réponse à sa question : car notre bonheur personnel est indissolublement lié à celui de notre prochain. La version que j'ai reprise nous pose aussi la question : Qu'est-ce que la laideur ? A quoi une fillette répondit un jour par une autre question : Et si c'était simplement être différent de ceux qui nous entourent ? Etre différent et pourtant semblable, comme ces contes qui, venus des antipodes, se ressemblent jusqu'à sembler les échos d'une même voix universelle. Surgis des mêmes rêves, des mêmes interrogations et expériences, ils disent la sagesse en des mots si simples qu'on peut la comprendre à tout âge. Ils réfléchissent la même vérité première, à savoir que l'humanité est à la fois une et merveilleusement diverse. Et, comme tout ce qui est humain, ils peuvent disparaître lors d'une guerre, d'un déplacement de populations, d'un changement de valeurs culturelles... Ils sont des monuments en péril invisibles. Et c'est pour les sauver de l'oubli qui les menace de nos jours que je suis devenue ce que j'appelle une "Passeuse de Contes". (Béatrice Tanaka);48 p;"";"";Oui
1013;800.000;Lire des histoires;Contes;Les contes de potiron;"";2211045375;Kahn (Michèle);Laval (Arnaud);1977;Ecole des loisirs;"";"";Livre;histoire d'enfants;Elémentaire;"";22 cm;"";"";Oui
1014;800.000;Lire des histoires;Album;Je suis Zunik;"";2884455337;Gauthier (Bertrand);Sylvestre (Daniel);2000;Calligram;Ainsi va la vie Zunik;1;Livre;humour, histoire d'enfants;Cycle 2;"";"";"";"";Oui
1015;800.000;Lire des histoires;Album;Le championnat;"";2884455345;Gauthier (Bertrand);Sylvestre (Daniel);2000;Calligram;Ainsi va la vie Zunik;2;Livre;humour, histoire d'enfants;Cycle 2;"";"";"";"";Oui
1016;800.000;Lire des histoires;Album;Le Wawazonzon;"";2884455612;Gauthier (Bertrand);Sylvestre (Daniel);2000;Calligram;Ainsi va la vie Zunik;8;Livre;humour, histoire d'enfants;Cycle 2;"";"";"";"";Oui
1017;800.000;Lire des histoires;Album;Le spectacle;"";2884455388;Gauthier (Bertrand);Sylvestre (Daniel);2000;Calligram;Ainsi va la vie Zunik;6;Livre;humour, histoire d'enfants, sp;Cycle 2;"";"";"";"";Oui
1018;800.000;Lire des histoires;Album;Lili a été suivie;"";2.88445.151.X;Saint Mars (Dominique de);Bloch (Serge);1996;Calligram;Ainsi va la vie;16;Livre;histoire d'enfants;Elémentaire;"";48 p;"";"";Oui
1019;770.000;Photographie;Album;La photographie et le cinéma;"";2.7366.4819.6;Graham (Ian);Hewetson (Nicholas);1998;Epigones;Fenêtres;18;Livre;cinéma, photographie;Cycle 2;La photographie est omniprésente. Elle donne couleur et intérêt à la presse écrite, immortalise les moments importants de la vie. Comment est née la photographie ? Comment a-t-on utilisé les premières photos ? Qui a inventé le premier appareil photographique ? Comment marche un appareil de photos ? Que voit-on à l'intérieur ? A quoi sert le flash ? Comment la photo s'imprime-t-elle sur la pellicule ? Comment la développe-t-on ? Qu'est-ce qu'une photo satellite ? Comment les avions espions prennent-ils des photos ? Comment a-t-on animé les images ? Comment monter un film ? Comment faire des effets spéciaux et des trucages ? Et les dessins animés ? Cet album vous donnera toutes ces réponses et bien d'autres encore...;39 pages;"";"";Oui
