dc.title,dc.identifier,dc.creator,dc.contributor,dc.subject,dc.description,dc.publisher,dc.date,dc.type,dc.format,dc.source,dc.relation,dc.coverage,dc.rights,item.id,item.callNumber,item.acquisitionDate,item.fundingSource
Manon n° 42,,,,rien,,Milan presse,,Text;Periodical,,,42,Elémentaire,Loanable,1656,,,
Manon n° 50,,,,rien,,Milan presse,,Text;Periodical,,,50,Elémentaire,Loanable,1657,,,
Manon n° 47,,,,rien,,Milan presse,,Text;Periodical,,,47,Elémentaire,Loanable,1658,,,
Manon n° 43,,,,rien,,Milan presse,,Text;Periodical,,,43,Elémentaire,Loanable,1659,,,
Manon n° 45,,,,rien,,Milan presse,,Text;Periodical,,,45,Elémentaire,Loanable,1700,,,
Manon n° 44,,,,rien,,Milan presse,,Text;Periodical,,,44,Elémentaire,Loanable,1701,,,
Manon n° 46,1762-9462,,,rien,,Milan presse,,Text;Periodical,,,46,Elémentaire,Loanable,1702,,,
Wapiti n° 147,,,,rien,,Milan,,Text;Periodical,,,147,Elémentaire,Loanable,1703,,,
Wapiti n° 73,,,,rien,,Milan,,Text;Periodical,,,73,Elémentaire,Loanable,1704,,,
Wapiti n° 156,,,,rien,,Milan,,Text;Periodical,,,156,Elémentaire,Loanable,1705,,,
Wapiti n° 116,,,,rien,,Milan,,Text;Periodical,,,116,Elémentaire,Loanable,1706,,,
Wapiti n° 239,,,,rien,,Milan,,Text;Periodical,,,239,Elémentaire,Loanable,1707,,,
Wapiti n° 189,,,,rien,,Milan,,Text;Periodical,,,189,Elémentaire,Loanable,1708,,,
Wapiti n° 242,,,,rien,,Milan,,Text;Periodical,,,242,Elémentaire,Loanable,1709,,,
Wapiti n° 140,,,,rien,,Milan,,Text;Periodical,,,140,Elémentaire,Loanable,1710,,,
Wapiti n° 189,,,,rien,,Milan,,Text;Periodical,,,189,Elémentaire,Loanable,1711,,,
Wapiti n° 206,,,,rien,,Milan,,Text;Periodical,,,206,Elémentaire,Loanable,1712,,,
Wapiti n° 126,,,,rien,,Milan,,Text;Periodical,,,126,Elémentaire,Loanable,1713,,,
Wapiti n° 234,,,,rien,,Milan,,Text;Periodical,,,234,Elémentaire,Loanable,1714,,,
Wapiti n° 134,,,,rien,,Milan,,Text;Periodical,,,134,Elémentaire,Loanable,1715,,,
La vie des arbres,,,,arbre,,Nathan,,Text,,Superscope,3,Elémentaire,Loanable,1419,580.000,,
Volcans et montagnes,,,,volcan,,Nathan,,Text,,Superscope,4,Elémentaire,Loanable,1420,551.000,,
Drôles d'animaux !,,,,zoologie,,Nathan,,Text,,Superscope,,Elémentaire,Loanable,1421,590.000,,
Les champions,,,,sport,,Nathan,,Text,,Megascope,8,Elémentaire,Loanable,1422,796.000,,
Le désert,,,,désert,,Nathan,,Text,,Megascope,5,Elémentaire,Loanable,1423,551.000,,
6 milliards d'hommes,,,,population,,Nathan,,Text,,Megascope,1,Elémentaire,Loanable,1424,327.000,,
En route vers le futur,,,,moteur,,Nathan,,Text,,Megascope,2,Elémentaire,Loanable,1425,621.000,,
Les défis de l'extrême,,,,montagne : géologie,,Nathan,,Text,,Megascope,8,Elémentaire,Loanable,1426,525.000,,
Ton ancêtre Cro-Magnon,,,,préhistoire,,Nathan,,Text,,Superscope,1,Elémentaire,Loanable,1427,930.000,,
Rome,,,,Rome antique,,Nathan,,Text,,Superscope,2,Elémentaire,Loanable,1428,940.000,,
Les maisons du monde,,,,maison,,Nathan,,Text,,Superscope,7,Elémentaire,Loanable,1429,643.000,,
"Existe, n'existe pas",,,,imaginaire,,Nathan,,Text,,Superscope,1,Elémentaire,Loanable,1430,153.000,,
Les grandes découvertes,,,,histoire du monde,,Nathan,,Text,,Superscope,3,Elémentaire,Loanable,1431,909.000,,
Qu'est ce qui fait grandir les diplodocus ?,,,,dinosaure,,Nathan,,Text,,Crocoscope,1,Elémentaire,Loanable,1433,569.000,,
Monsieur le président,,,,président de la républiqu,,Nathan,,Text,,Superscope,6,Elémentaire,Loanable,1434,320.000,,
Justice et injustices,,,,justice,,Nathan,,Text,,Megascope,2,Elémentaire,Loanable,1435,347.000,,
Les mégalopoles,,,,urbanisme,,Nathan,,Text,,Megascope,3,Elémentaire,Loanable,1436,304.000,,
Voyager dans l'espace,,,,conquête de l'espace,,Nathan,,Text,,Superscope,1,Elémentaire,Loanable,1437,629.400,,
Les animaux des zoos,,,,zoologie,,Nathan,,Text,,Superscope,7,Elémentaire,Loanable,1438,590.000,,
Prêts pour l'aventure,,,,aventures,,Nathan,,Text,,Superscope,6,Elémentaire,Loanable,1439,796.000,,
D'où je viens ?,,,,pédiatrie,,Nathan,,Text,,Superscope,6,Elémentaire,Loanable,1440,618.000,,
"Va te faire soigner, Barbouille",,,,médecine,,Nathan,,Text,,Crocoscope,5,Elémentaire,Loanable,1441,610.000,,
Au coeur du château fort,,,,château,,Nathan,,Text,,Superscope,4,Elémentaire,Loanable,1442,940.000,,
Fascinants animaux,,,,zoologie,,Nathan,,Text,,Superscope,4,Elémentaire,Loanable,1443,590.000,,
Le temps qui passe,,,,temps,,Nathan,,Text,,Superscope,3,Elémentaire,Loanable,1444,529.000,,
Bon appétit !,,,,alimentation,,Nathan,,Text,,Superscope,7,Elémentaire,Loanable,1445,641.000,,
Pirates et corsaires,,,,pirate,,Nathan,,Text,,Megascope,6,Elémentaire,Loanable,1446,920.000,,
A la conquête de la Lune,,,,lune,,Nathan,,Text,,Superscope,8,Elémentaire,Loanable,1447,523.000,,
Que mangent-ils ?,,,,zoologie,,Nathan,,Text,,Superscope,5,Elémentaire,Loanable,1448,590.000,,
Les géants des mers,,,,zoologie,,Nathan,,Text,,Megascope,8,Elémentaire,Loanable,1449,590.000,,
Vivre dans le Grand Nord,,,,climat,,Nathan,,Text,,Superscope,2,Elémentaire,Loanable,1660,551.000,,
Toute la lumière sur le feu,,,,combustion,,Nathan,,Text,,Megascope,3,Elémentaire,Loanable,1661,930.000,,
Le pouvoir du froid,,,,climat,,Nathan,,Text,,Superscope,2,Elémentaire,Loanable,1662,551.000,,
Ruses et astuces de animaux,,,,zoologie,,Nathan,,Text,,Megascope,5,Elémentaire,Loanable,1663,590.000,,
Fabriquer un livre,,,,livre,,Nathan,,Text,,Megascope,7,Elémentaire,Loanable,1664,686.000,,
"Existe, n'existe pas",,,,imaginaire,,Nathan,,Text,,Superscope,1,Elémentaire,Loanable,1665,153.000,,
Qu'est ce qui fait grandir les diplodocus ?,,,,dinosaure,,Nathan,,Text,,Crocoscope,1,Elémentaire,Loanable,1666,569.000,,
Wakou n° 126,,,,rien,,Milan presse,,Text;Periodical,,Wakou,126,Elémentaire,Loanable,1717,,,
Wakou n° 108,,,,rien,,Milan presse,,Text;Periodical,,Wakou,108,Elémentaire,Loanable,1818,,,
Wakou n° 135,,,,rien,,Milan presse,,Text;Periodical,,Wakou,135,Elémentaire,Loanable,1919,,,
Wakou n° 159,,,,rien,,Milan presse,,Text;Periodical,,Wakou,159,Elémentaire,Loanable,2001,,,
Wakou n° 128,,,,rien,,Milan presse,,Text;Periodical,,Wakou,128,Elémentaire,Loanable,2002,,,
Wakou n° 1,,,,rien,,Milan presse,,Text;Periodical,,Wakou,1,Elémentaire,Loanable,2003,,,
Wakou n° 30,,,,rien,,Milan presse,,Text;Periodical,,Wakou,30,Elémentaire,Loanable,2004,,,
Wakou n° 113,,,,rien,,Milan presse,,Text;Periodical,,Wakou,113,Elémentaire,Loanable,2005,,,
Wakou n° 19,,,,rien,,Milan presse,,Text;Periodical,,Wakou,19,Elémentaire,Loanable,2006,,,
Wakou n° 26,,,,rien,,Milan presse,,Text;Periodical,,Wakou,26,Elémentaire,Loanable,2007,,,
Wakou n° 122,,,,rien,,Milan presse,,Text;Periodical,,Wakou,122,Elémentaire,Loanable,2008,,,
Wakou n° 213,,,,rien,,Milan presse,,Text;Periodical,,Wakou,213,Elémentaire,Loanable,2009,,,
Wakou n° 201,,,,rien,,Milan presse,,Text;Periodical,,Wakou,201,Elémentaire,Loanable,2010,,,
Wakou n° 20,,,,rien,,Milan presse,,Text;Periodical,,Wakou,20,Elémentaire,Loanable,2011,,,
Wakou n° 23,,,,rien,,Milan presse,,Text;Periodical,,Wakou,23,Elémentaire,Loanable,2012,,,
Wakou n° 117,,,,rien,,Milan presse,,Text;Periodical,,Wakou,117,Elémentaire,Loanable,2013,,,
Wakou n° 4,,,,rien,,Milan presse,,Text;Periodical,,Wakou,4,Elémentaire,Loanable,2014,,,
Wakou n° 90,,,,rien,,Milan presse,,Text;Periodical,,Wakou,90,Elémentaire,Loanable,2016,,,
Wakou n° 29,,,,rien,,Milan presse,,Text;Periodical,,Wakou,29,Elémentaire,Loanable,2017,,,
Wakou n° 18,,,,rien,,Milan presse,,Text;Periodical,,Wakou,18,Elémentaire,Loanable,2018,,,
J'aime lire n° 240,,,,rien,,Bayard,,Text;Periodical,,,240,Elémentaire,Loanable,2019,,,
Grand J n° 75,,,,rien,,P.E.M.F.,,Text;Periodical,,Grand J,75,Elémentaire,Loanable,2020,,,
Onze petites chouettes,2211039596,"Wertheim, Anne",,chouette,"Tyto et Alba sont des chouettes effraies. Après le cérémonial d'usage chez leur espèce, ils ont décidé de fonder une famille. Les oiseaux ont la belle vie, pensez-vous ? Eh bien non ! Rien de plus exténuant que d'élever une nichée de jeunes chouettes perpétuellement affamées. Et puis, songez à tous les dangers qui les guettent ! Voici, de la fin de l'hiver au départ des jeunes, en automne, la vie d'une famille de chouettes effraies. Regardez la couvée éclore, grandir, apprendre à voler, et entrez dans la vie intime - et passionnante ! - de la chouette effraie.",Ecole des loisirs,1996,Text,28 cm,Archimède,,Cycle 2,Loanable,2021,598.000,,
Laurent tout seul,,"Vaugelade, Anaïs",,histoire d'animaux|sentiment,,Ecole des loisirs,1996,Text,,Albums,,Cycle 2,Loanable,2022,800.000,,
Trognon et Pépin,2211010679,"Guettier, Bénédicte",,nouvelles|fruit : culture|ja,"L'histoire de deux pommes amies.Elles vont mûrir,tomber,pourrir et enfin donner naissance à deux nouveaux pommiers.",Ecole des loisirs,1992,Text,,Albums,,Cycle 2,Loanable,2023,800.000,,
Je suis une coccinelle,2211016669,"Okumoto, Daisaburo","Ishibe, Toraji",histoire d'animaux|insecte,,Ecole des loisirs,,Text,,Archimède,,Cycle 2,Loanable,2024,800.000,,
Wapiti n° 180,,,,rien,,Milan,,Text;Periodical,,,180,Cycle 2,Loanable,2042,,,
Wapiti n° 164,,,,rien,,Milan,,Text;Periodical,,,164,Cycle 2,Loanable,2043,,,
Wapiti n° 152,,,,rien,,Milan,,Text;Periodical,,,152,Cycle 2,Loanable,2044,,,
Wapiti n° 170,,,,rien,,Milan,,Text;Periodical,,,170,Cycle 2,Loanable,2045,,,
Wapiti n° 224,,,,rien,,Milan,,Text;Periodical,,,224,Cycle 2,Loanable,2047,,,
Wapiti n° 168,,,,rien,,Milan,,Text;Periodical,,,168,Cycle 2,Loanable,2048,,,
Wapiti n° 134,,,,rien,,Milan,,Text;Periodical,,,134,Cycle 2,Loanable,2049,,,
Wapiti n° 228,,,,rien,,Milan,,Text;Periodical,,,228,Cycle 2,Loanable,2050,,,
Wapiti n° 108,,,,rien,,Milan,,Text;Periodical,,,108,Cycle 2,Loanable,2051,,,
Wapiti n° 149,0984-2314,,,rien,,Milan,,Text;Periodical,,,149,Cycle 2,Loanable,2052,,,
Wapiti n° 229,,,,rien,,Milan,,Text;Periodical,,,229,Cycle 2,Loanable,2053,,,
Wapiti n° 150,,,,rien,,Milan,,Text;Periodical,,,150,Cycle 2,Loanable,2054,,,
Wapiti n° 130,,,,rien,,Milan,,Text;Periodical,,,130,Cycle 2,Loanable,2055,,,
Blaireau n° 86,,,,rien,,Gallimard,,Text,,,86,Cycle 2,Loanable,2057,,,
Blaireau n° 65,,,,rien,,Gallimard,,Text,,,65,Cycle 2,Loanable,2058,,,
Blaireau n° 48,,,,rien,,Gallimard,,Text,,,48,Cycle 2,Loanable,2059,,,
Blaireau n° 39,,,,rien,,Gallimard,,Text,,,39,Cycle 2,Loanable,2060,,,
Blaireau n° 37,,,,rien,,Gallimard,,Text,,,37,Cycle 2,Loanable,2061,,,
Blaireau n° 52,,,,rien,,Gallimard,,Text,,,52,Cycle 2,Loanable,2062,,,
Blaireau n° 60,,,,rien,,Gallimard,,Text,,,60,Cycle 2,Loanable,2063,,,
Blaireau n° 40,,,,rien,,Gallimard,,Text,,,40,Cycle 2,Loanable,2064,,,
Blaireau n° 44,,,,rien,,Gallimard,,Text,,,44,Cycle 2,Loanable,2065,,,
Blaireau n° 121,,,,rien,,Gallimard,,Text,,,121,Cycle 2,Loanable,2066,,,
La tomate,2713011132,"Watts, Barrie",,graine : botanique|fruit : bo,Le développement de ce fruit juteux depuis la minuscule graine jusqu'à la plante couverte de grosses tomates rouges,Gamma,1990,Text,26 pages,Clin d'oeil,,Cycle 2,Loanable,6001,581.000,,
"Vents et nuages, le temps qu'il fait",207058383X,Collectif,,météorologie|nuage|vent,"Un livre à lire, à regarder mais aussi à toucher, à manipuler, à transformer grâce à des autocollants.  Découvrir l'atmosphère, les secrets du temps et toutes les métamorphoses du ciel.  Voir surgir mirages et arcs-en-ciel par la magie d'un transparent. Grâce à une page qui se déplie en hauteur, reconnaître et situer les nuages.  Admirer en transparence la dentelle des cristaux de neige.  Avec un calque, faire se lever les nappes de brouillard.  De la brise à la tempête, de la tornade au cyclone, comprendre comment nait la course des vents. A travers des lunettes spéciales, voir en relief les fronts nuageux.  Découvrir la météorologie, son rôle et ses instruments, ainsi que la variété des climats de la Terre.",Gallimard,1994,Text,48 pages,Les racines du savoir,,Elémentaire,Loanable,6002,551.000,,
Le petit citoyen,2203120312,"Perdrizet, Marie-Pierre","Heitz, Bruno",constitution,,Casterman,1994,Text,52 pages,,,Elémentaire,Loanable,6003,340.000,,
J'adore le football,2.84084.017.0,"Collin, J.C.",,football,,Ecole des loisirs,1993,Text,25,,7,Elémentaire,Loanable,6004,796.300,,
J'étais enfant pendant la révolution française,2.7320.3036.8,"Dubacq, Jean","Delepierre, Gérard",Révolution de 1789|enfance,,Sorbier,1982,Text,23 cm,J'étais enfant,,Cours moyen,Loanable,6005,944.000,,
Au temps des chevaliers et des chateaux forts...,2010165780,"Miquel, Pierre","Probst, Pierre",Moyen Age|château,,Hachette,2001,Text,72 pages,Vie privée des hommes,,Elémentaire,Loanable,6007,940.100,,
Au temps des grandes découvertes: 1450 1550,2.01.001677.7,"Miquel, Pierre","Millet, Claude",biographie: voyageur|science,,Hachette,1987,Text,29 cm,Vie privée des hommes,,Elémentaire,Loanable,6008,940.200,,
Au temps des grandes découvertes: 1450 1550,2.01.001677.7,"Miquel, Pierre","Millet, Claude",biographie: voyageur|science,,Hachette,1987,Text,29 cm,Vie privée des hommes,,Elémentaire,Loanable,6009,940.200,,
Au temps des Empereurs Tang,2-01-016098-3,"Elisseeff, Danielle",,Chine : géographie,,Hachette,1990,Text,,Vie privée des hommes,,Elémentaire,Loanable,6010,930.000,,
J'aime lire n° 244,,,,rien,"C'est l'histoire de Pocahontas, la belle princesse indienne, et de John Smith, soldat anglais, parti conquérir le Nouveau Monde. La légende raconte que leur amour fut si pur qu'il aida, pendant un temps",Bayard,,Text;Periodical,à maintenir la paix entre les deux peuples...,,244,Elémentaire,Loanable,6011,,,
J'aime lire n° 175,,,,rien,,Bayard,,Text;Periodical,,,,Elémentaire,Loanable,6012,,,
J'aime lire n° 254,,,,rien,,,,Text;Periodical,,,,Elémentaire,Loanable,6013,,,
J'aime lire n° 132,,,,rien,,Bayard,,Text;Periodical,,,132,Elémentaire,Loanable,6014,580.000,,
Madame beauté,2.01.010446.3,"Hargreaves, Roger","Hargreaves, Roger",humour,,Hachette,1992,Text,13cm,Bonhomme et les dames,,Pré-élémentaire,Loanable,6016,800.000,,
Monsieur Pressé,2010095308,"Hargreaves, Roger","Hargreaves, Roger",humour,,Hachette,,Text,13cm,Bonhomme et les dames,,Pré-élémentaire,Loanable,6017,800.000,,
Youpi n° 126,,,,rien,,Bayard,,Text;Periodical,,,126,Pré-élémentaire,Loanable,6019,,,
Youpi n° 96,,,,rien,,Bayard,,Text;Periodical,,,96,Pré-élémentaire,Loanable,6020,,,
J'aime lire n° 218,,,,rien,,Bayard,,Text;Periodical,,,218,Pré-élémentaire,Loanable,6021,,,
J'aime lire n° 192,,,,rien,,Bayard,,Text;Periodical,,,192,Pré-élémentaire,Loanable,6022,,,
J'aime lire n° 134,,,,rien,,Bayard,,Text;Periodical,,,134,Pré-élémentaire,Loanable,6023,,,
J'aime lire n° 247,,,,rien,,Bayard,,Text;Periodical,,,247,Pré-élémentaire,Loanable,6024,,,
J'aime lire n° 211,,,,rien,,Bayard,,Text;Periodical,,,211,Pré-élémentaire,Loanable,6025,,,
J'aime lire n° 190,,,,rien,,Bayard,,Text;Periodical,,,190,Pré-élémentaire,Loanable,6026,,,
J'aime lire n° 217,,,,rien,,Bayard,,Text;Periodical,,,217,Pré-élémentaire,Loanable,6028,,,
J'aime lire n° 216,,,,rien,,Bayard,,Text;Periodical,,,216,Pré-élémentaire,Loanable,6029,,,
J'aime lire n° 220,,,,rien,,Bayard,,Text;Periodical,,,220,Pré-élémentaire,Loanable,6030,,,
J'aime lire n° 48,,,,rien,,Bayard,,Text;Periodical,,,48,Pré-élémentaire,Loanable,6031,,,
J'aime lire n° 245,,,,rien,,Bayard,,Text;Periodical,,,245,Pré-élémentaire,Loanable,6032,,,
J'aime lire n° 149,,,,rien,,Bayard,,Text;Periodical,,,149,Pré-élémentaire,Loanable,6033,,,
J'aime lire n° 87,,,,rien,,Bayard,,Text;Periodical,,,87,Pré-élémentaire,Loanable,6035,,,
J'aime lire n° 239,,,,rien,,Bayard,,Text;Periodical,,,239,Pré-élémentaire,Loanable,6036,,,
J'aime lire n° 332,,,,rien,,Bayard,,Text;Periodical,,,332,Pré-élémentaire,Loanable,6037,,,
J'aime lire n° 34,,,,rien,,Bayard,,Text;Periodical,,,34,Pré-élémentaire,Loanable,6038,,,
J'aime lire n° 147,,,,rien,,Bayard,,Text;Periodical,,,147,Pré-élémentaire,Loanable,6039,,,
J'aime lire n° 72,,,,rien,,Bayard,,Text;Periodical,,,72,Pré-élémentaire,Loanable,6040,,,
J'aime lire n° 149,,,,rien,,Bayard,,Text;Periodical,,,149,Pré-élémentaire,Loanable,6041,,,
J'aime lire n° 239,,,,rien,,Bayard,,Text;Periodical,,,239,Pré-élémentaire,Loanable,6042,,,
J'aime lire n° 206,,,,rien,,Bayard,,Text;Periodical,,,206,Pré-élémentaire,Loanable,6043,,,
J'aime lire n° 288,,,,rien,,Bayard,,Text;Periodical,,,288,Pré-élémentaire,Loanable,6044,,,
J'aime lire n° 201,,,,rien,,Bayard,,Text;Periodical,,,201,Pré-élémentaire,Loanable,6045,,,
Moi je lis n° 191,,,,rien,,Milan,,Text;Periodical,,,191,Pré-élémentaire,Loanable,6046,,,
Moi je lis n° 205,,,,rien,,Milan,,Text;Periodical,,,205,Pré-élémentaire,Loanable,6047,,,
Moi je lis n° 120,,,,rien,,Milan,,Text;Periodical,,,120,Pré-élémentaire,Loanable,6048,,,
Moi je lis n° 84,,,,rien,,Milan,,Text;Periodical,,,84,Pré-élémentaire,Loanable,6049,,,
Moi je lis n° 113,,,,rien,,Milan,,Text;Periodical,,,113,Pré-élémentaire,Loanable,6050,,,
Moi je lis n° 92,,,,rien,,Milan,,Text;Periodical,,,92,Pré-élémentaire,Loanable,6051,,,
Moi je lis n° 207,,,,rien,,Milan,,Text;Periodical,,,207,Pré-élémentaire,Loanable,6052,,,
Moi je lis n° 193,,,,rien,,Milan,,Text;Periodical,,,193,Pré-élémentaire,Loanable,6053,,,
Moi je lis n° 204,,,,rien,,Milan,,Text;Periodical,,,204,Pré-élémentaire,Loanable,6054,,,
Moi je lis n° 208,,,,rien,,Milan,,Text;Periodical,,,,Pré-élémentaire,Loanable,6055,,,
Je lis des histoires vraies n° 44,,,,rien,,,,Text;Periodical,,,44,Pré-élémentaire,Loanable,6056,,,
Il était une fois.... l'homme,,,,guerre de 100 ans,,,,Text,,,13,Pré-élémentaire,Loanable,6057,944.000,,
Je lis des histoires vraies n° 101,,,,rien,,,,Text;Periodical,,,101,Pré-élémentaire,Loanable,6058,,,
Je lis des histoires vraies n° 104,,,,rien,,,,Text;Periodical,,,104,Pré-élémentaire,Loanable,6059,,,
Je lis des histoires vraies n° 104,,,,rien,,,,Text;Periodical,,,104,Pré-élémentaire,Loanable,6060,,,
Je lis des histoires vraies n° 77,,,,rien,,,,Text;Periodical,,,77,Pré-élémentaire,Loanable,6061,,,
Mille et une histoires n° 7,,,,rien,,Fleurus,,Text;Periodical,,,7,Pré-élémentaire,Loanable,6062,,,
Mille et une histoires n° 2,,,,rien,,Fleurus,,Text;Periodical,,,2,Pré-élémentaire,Loanable,6063,,,
Mille et une histoires n° 18,,,,rien,,Fleurus,,Text;Periodical,,,18,Pré-élémentaire,Loanable,6064,,,
Mille et une histoires n° 12,,,,rien,,Fleurus,,Text;Periodical,,,12,Pré-élémentaire,Loanable,6066,,,
Mille et une histoires n° 1,,,,rien,,Fleurus,,Text;Periodical,,,1,Pré-élémentaire,Loanable,6067,,,
Mille et une histoires n° 18,,,,rien,,Fleurus,,Text;Periodical,,,18,Pré-élémentaire,Loanable,6068,,,
Touffu le roi des os,2227715103,"Berthommier, Martin","Berthommier, Martin",bande dessinée|humour,Touffu a toujours mille et une idées géniales pour faire rire ses amis. Un album plein de gags et de bêtises du célèbre chien tout fou !,Bayard,2000,Text,46 pages,,,Elémentaire,Loanable,6069,800.000,,
Wapiti n° 185,,,,rien,,Milan,,Text;Periodical,,,185,Elémentaire,Loanable,6071,,,
Wapiti n° 139,,,,rien,,Milan,,Text;Periodical,,,139,Elémentaire,Loanable,6072,,,
Wapiti n° 77,,,,rien,,Milan,,Text;Periodical,,,77,Elémentaire,Loanable,6073,,,
Wapiti n° 109,,,,rien,,Milan,,Text;Periodical,,,109,Elémentaire,Loanable,6074,,,
Wapiti n° 173,,,,rien,,Milan,,Text;Periodical,,,173,Elémentaire,Loanable,6075,,,
Wapiti n° 238,,,,rien,,Milan,,Text;Periodical,,,238,Elémentaire,Loanable,6076,,,
Hibou n° 143,,,,rien,,Produca,,Text;Periodical,,,143,Elémentaire,Loanable,6082,,,
Hibou n° 143,,,,rien,,Produca,,Text;Periodical,,,143,Elémentaire,Loanable,6084,,,
Hibou n° 143,,,,rien,,Produca,,Text;Periodical,,,143,Elémentaire,Loanable,6085,,,
Hibou n° 143,,,,rien,,Produca,,Text;Periodical,,,143,Elémentaire,Loanable,6089,,,
BT n° 1 007,,,,rien,,P.E.M.F.,,Text;Periodical,,BT,1 007,Elémentaire,Loanable,6098,,,
BT n° 991,,,,rien,,P.E.M.F.,,Text;Periodical,,BT,991,Elémentaire,Loanable,6099,,,
BTj n° 333,,,,rien,,P.E.M.F.,,Text;Periodical,,BTj,333,Elémentaire,Loanable,6104,,,
Wakou n° 139,,,,rien,,Milan presse,,Text;Periodical,,Wakou,139,Elémentaire,Loanable,6109,,,
Wakou n° 147,,,,rien,,Milan presse,,Text;Periodical,,Wakou,147,Elémentaire,Loanable,6110,,,
Wakou n° 136,,,,rien,,Milan presse,,Text;Periodical,,Wakou,136,Elémentaire,Loanable,6111,,,
Wakou n° 103,,,,rien,,Milan presse,,Text;Periodical,,Wakou,103,Elémentaire,Loanable,6112,,,
Wakou n° 154,,,,rien,,Milan presse,,Text;Periodical,,Wakou,154,Elémentaire,Loanable,6113,,,
Wakou n° 191,,,,rien,,Milan presse,,Text;Periodical,,Wakou,191,Elémentaire,Loanable,6114,,,
Wakou n° 129,,,,rien,,Milan presse,,Text;Periodical,,Wakou,129,Elémentaire,Loanable,6115,,,
Wakou n° 163,,,,rien,,Milan presse,,Text;Periodical,,Wakou,163,Elémentaire,Loanable,6116,,,
Wakou n° 190,,,,rien,,Milan presse,,Text;Periodical,,Wakou,190,Elémentaire,Loanable,6117,,,
Wakou n° 34,,,,rien,,Milan presse,,Text;Periodical,,Wakou,34,Elémentaire,Loanable,6118,,,
Wakou n° 130,,,,rien,,Milan presse,,Text;Periodical,,Wakou,130,Elémentaire,Loanable,6119,,,
Wakou n° 134,,,,rien,,Milan presse,,Text;Periodical,,Wakou,134,Elémentaire,Loanable,6120,,,
Blaireau n° 43,,,,rien,,Gallimard,,Text,,,43,Elémentaire,Loanable,6121,,,
Blaireau n° 54,,,,rien,,Gallimard,,Text,,,54,Elémentaire,Loanable,6122,,,
Blaireau n° 49,,,,rien,,Gallimard,,Text;Periodical,,,49,Elémentaire,Loanable,6123,,,
Blaireau n° 59,,,,rien,,Gallimard,,Text,,,,Elémentaire,Loanable,6124,,,
Blaireau n° 61,,,,rien,,Gallimard,,Text,,,,Elémentaire,Loanable,6125,,,
Les secrets de la Calypso: Et de l'Alcyone,,,,mer : milieu,,Hachette jeunesse,,Text,,Nature et aventure,,Elémentaire,Loanable,1667,577.000,,
Bernard et Bianca au pays des kangourous,2.23.000085.3,"Disney, Walt",Collectif,histoire d'animaux,,Disney Hachette édition,1992,Text,96,,,Elémentaire,Loanable,5002,800.000,,
Qui a peur de l'eau ?,2.73203312.X,"Martinez I Vendrell, Maria","Capdevilla, Roser",mer : milieu|psychologie,,Sorbier,1993,Text,24 cm,,,Elémentaire,Loanable,5003,800.000,,
Un petit frère va arriver,2.732032956,"Martinez I Vendrell, Maria","Capdevilla, Roser",naissance|psychologie|famill,,Sorbier,1992,Text,24 cm,,,Elémentaire,Loanable,5004,800.000,,
Bonjour l'hôpital,2.73203293X,"Martinez I Vendrell, Maria","Capdevilla, Roser",hôpital|psychologie|maladie,,Sorbier,1992,Text,24 cm,Le dire avec des mots,,Elémentaire,Loanable,5005,800.000,,
Laura est timide,2.7320.3261.1,"Martinez I Vendrell, Maria","Capdevilla, Roser",psychologie|histoire d'enfant,"Un incident permet à Laura de surmonter sa timidité maladive qui l'isole de son entourage. Cette collection aborde des problèmes, des temps forts de la vie des enfants dans une approche simple, réaliste et rassurante",Sorbier,1991,Text,24 cm,Le dire avec des mots,,Cycle 2,Loanable,5006,800.000,,
Une famille pour Adrien,2.7320.3314.6,"Martinez I Vendrell, Maria","Capdevilla, Roser",adoption|histoires vécues,,Sorbier,1991,Text,24 cm,,,Elémentaire,Loanable,5007,800.000,,
Marie a peur de la nuit,2.7320.3263.8,"Martinez I Vendrell, Maria","Capdevilla, Roser",psychologie|nuit|histoire d',,Sorbier,1991,Text,24 cm,Le dire avec des mots,,Cycle 2,Loanable,5008,800.000,,
Monsieur Endormi,2.01.008795.X,"Hargreaves, Roger","Hargreaves, Roger",humour,,Hachette,1985,Text,13cm,Bonhomme et les dames,,Pré-élémentaire,Loanable,5009,800.000,,
Monsieur Rigolo,2.01.009645.2,"Hargreaves, Roger","Hargreaves, Roger",humour,,Hachette,1985,Text,13cm,Bonhomme et les dames,,Pré-élémentaire,Loanable,5010,800.000,,
Monsieur Maladroit,2010095588,"Hargreaves, Roger","Hargreaves, Roger",humour,,Hachette,,Text,13cm,Bonhomme et les dames,,Pré-élémentaire,Loanable,5011,800.000,,
Monsieur Malpoli,2.01.009564.2,"Hargreaves, Roger","Hargreaves, Roger",humour,,Hachette,1991,Text,13cm,,,Pré-élémentaire,Loanable,5012,800.000,,
Monsieur Petit,2010087925,"Hargreaves, Roger","Hargreaves, Roger",humour,,Hachette,1985,Text,13cm,Bonhomme et les dames,,Pré-élémentaire,Loanable,5013,800.000,,
Youpi n° 126,,,,rien,,Bayard,,Text;Periodical,,,126,Pré-élémentaire,Loanable,5015,,,
Youpi n° 126,,,,rien,,Bayard,,Text;Periodical,,,126,Pré-élémentaire,Loanable,5016,,,
